Review,Brand,Variety,Style,Country,Stars,Count,Average
2530,Ottogi,ppushu ppushu noodle snack honey butter ,Pack,South Korea,2,307,3.7905537459283387
2529,Maruchan,gotsumori chanpon ramen,Bowl,Japan,4.5,352,3.981605113636364
2528,Prima,juzz's mee creamy chicken flavour (export version),Pack,Singapore,5,109,4.126146788990826
2527,Uni-President,mushroom flavor,Pack,Vietnam,0,108,3.187962962962963
2526,Samyang Foods,jjamppong big bowl,Bowl,South Korea,4.5,307,3.7905537459283387
2525,Sokensha,curry udon,Pack,Japan,3.5,352,3.981605113636364
2524,Nissin,straits reborn laksa,Pack,Singapore,5,109,4.126146788990826
2523,Nongshim,budae jjigae noodle soup,Pack,South Korea,4.5,307,3.7905537459283387
2522,Takamori,hearty japanese style curry udon,Pack,Japan,5,352,3.981605113636364
2521,Nissin,cup noodles potato chips black pepper crab flavour,Pack,Singapore,4.5,109,4.126146788990826
2520,Nissin,cup noodles blacl pepper crab flavour (more angry crab),Cup,Singapore,5,109,4.126146788990826
2519,Guava Story,anchovy flavor guava rice noodles,Tray,South Korea,1,307,3.7905537459283387
2518,Samurai Ramen,umami ramen,Pack,Japan,4,352,3.981605113636364
2517,Ikeda Shoku,nabeyaki tempura udoin,Bowl,Japan,4.5,352,3.981605113636364
2516,Fujiwara,hokkaido hakodate miso ramen,Pack,Japan,3.5,352,3.981605113636364
2515,Uni-President,man han feast spicy beef flavor instant noodles,Bowl,Taiwan,5,224,3.6654017857142853
2514,Ogasawara,kirin giraffe shoyu ramen,Pack,Japan,4.5,352,3.981605113636364
2512,Mom's Dry Noodle,dan dan noodle,Pack,Taiwan,5,224,3.6654017857142853
2511,Samyang Foods,samyang ramen classic edition,Bowl,South Korea,5,307,3.7905537459283387
2510,MyKuali,penang red tom yum goong noodle,Pack,Malaysia,5,155,4.154193548387097
2509,Maggi,hot heads green chilli noodles,Pack,India,3.5,31,3.3951612903225805
2508,Samyang Foods,mala buldak bokkeummyun,Pack,South Korea,3.75,307,3.7905537459283387
2507,Indomie,rmy noodlez rumput laut,Pack,Indonesia,4,126,4.067460317460317
2506,KOKA,delight chicken flavor instant non-fried noodles,Pack,Singapore,3.75,109,4.126146788990826
2505,Acecook,super cup torigawa shoyu,Bowl,Japan,3.5,352,3.981605113636364
2504,Nongshim,shin ramyun,Pack,South Korea,3,307,3.7905537459283387
2503,Sichuan Guangyou,sweet potato instant noodle sout-hot flavor,Bowl,China,0,169,3.4218934911242602
2501,Happy Cook,toona paste noodle,Pack,Taiwan,4,224,3.6654017857142853
2500,The Ramen Rater Select,supreme creamy tom yum noodle,Box,Malaysia,5,155,4.154193548387097
2499,KOKA,creamy soup with crushed noodles chicken flavor,Cup,Singapore,5,109,4.126146788990826
2483,Paldo,bul jjamppong,Bowl,South Korea,5,307,3.7905537459283387
2482,TTL,chicken with chinese shaoxing wine,Pack,Taiwan,4.75,224,3.6654017857142853
2481,Samyang Foods,buldak bokkeummyun,Cup,South Korea,3.75,307,3.7905537459283387
2480,Acecook,pork wantan men,Bowl,Japan,4.25,352,3.981605113636364
2479,E-Zee,instant noodles chicken flavour,Pack,Malaysia,4,155,4.154193548387097
2478,Kiki Noodle,scallion oil & soy sauce noodle,Pack,Taiwan,5,224,3.6654017857142853
2477,Kiki Noodle,sichuan spices flavor noodle,Pack,Taiwan,5,224,3.6654017857142853
2476,Samyang Foods,kimchi stew ramyun,Bowl,South Korea,4,307,3.7905537459283387
2475,Maruchan,seimen red spicy dandan men,Bowl,Japan,4.75,352,3.981605113636364
2474,Ottogi,ppushu ppushu noodle snack chilli cheese flavor,Pack,South Korea,4.25,307,3.7905537459283387
2473,Tokyo Noodle,mini instant noodle mild curry flavor,Pack,Japan,2,352,3.981605113636364
2472,GGE,noodle snack wheat cracks seaweed flavor,Pack,Taiwan,3.5,224,3.6654017857142853
2471,Nissin,cup noodles mini seafood flavour,Cup,Hong Kong,5,137,3.8018248175182485
2469,KOKA,signature curry flavor instant noodles,Cup,Singapore,3.5,109,4.126146788990826
2468,Acecook,dossari yasai chanpon,Cup,Japan,4.25,352,3.981605113636364
2467,Paldo,volcano curry kkokkomyun,Pack,South Korea,3.5,307,3.7905537459283387
2466,Sau Tao,instant noodle king pepper duck flavour soup,Pack,Hong Kong,4,137,3.8018248175182485
2465,Nissin,cup noodles xo sauce seafood,Cup,China,3.75,169,3.4218934911242602
2464,Wang,extreme spicy hot chicken flavor udon,Bowl,South Korea,2,307,3.7905537459283387
2463,Nissin,gekikara ramen rasa pedas,Pack,Indonesia,3.25,126,4.067460317460317
2462,TTL,sesame oil chicken noodle with rice wine,Bowl,Taiwan,5,224,3.6654017857142853
2461,Fujiwara,hokkaido hakodate shio ramen,Pack,Japan,4.5,352,3.981605113636364
2459,Nissin,cup noodles mug shoyu & seafood,Pack,Japan,3.5,352,3.981605113636364
2457,KOKA,instant noodles chicken satay flavour,Pack,Singapore,3.5,109,4.126146788990826
2456,KOKA,signature spicy singapore fried noodles instant noodles,Pack,Singapore,4.25,109,4.126146788990826
2455,KOKA,creamy soup with crushed noodles sweet corn flavor,Cup,Singapore,5,109,4.126146788990826
2454,KOKA,silk beef pho flavor instant rice fettuccine,Bowl,Singapore,3.25,109,4.126146788990826
2453,KOKA,delight spicy sesame flavor instant non-fried noodles,Pack,Singapore,4.5,109,4.126146788990826
2452,KOKA,signature laksa singapura instant noodles,Bowl,Singapore,5,109,4.126146788990826
2451,KOKA,delight spicy black pepper flavor instant non-fried noodles,Pack,Singapore,5,109,4.126146788990826
2450,KOKA,purple wheat noodles chili & lime flavor,Pack,Singapore,4,109,4.126146788990826
2449,KOKA,delight tomato flavor instant non-fried noodles,Pack,Singapore,5,109,4.126146788990826
2448,KOKA,seafood flavor instant noodles,Cup,Singapore,3.5,109,4.126146788990826
2447,KOKA,signature stir-fry original flavor instant noodles,Pack,Singapore,3,109,4.126146788990826
2446,KOKA,creamy soup witrh crushed noodles curry flavor,Cup,Singapore,5,109,4.126146788990826
2445,KOKA,delight laksa singapura flavor instant non-fried noodles,Pack,Singapore,4.25,109,4.126146788990826
2444,KOKA,silk spicy marinara instant rice fettuccine,Bowl,Singapore,5,109,4.126146788990826
2443,KOKA,signature chicken flavor instant noodles,Cup,Singapore,3.75,109,4.126146788990826
2441,MyKuali,penang hokkien prawn flavor noodle,Box,Japan,5,352,3.981605113636364
2440,Master Kong,roasted pork noodle,Pack,China,4.5,169,3.4218934911242602
2439,Uni-President,man han feast super hot pot beef flavor instant noodles,Bowl,Taiwan,5,224,3.6654017857142853
2438,World O' Noodle,mi goreng original flavour fried noodles,Pack,Indonesia,5,126,4.067460317460317
2437,Nissin,raoh nojyuku toro tonkotsu ramen,Bowl,Japan,4.5,352,3.981605113636364
2436,Kang Shi Fu,artificial dongpo's braised pork flavour,Pack,Hong Kong,4.75,137,3.8018248175182485
2435,Mum Ngon,lau tom chua cay,Pack,Vietnam,3.5,108,3.187962962962963
2434,Happy Cook,old beijing fried bean sauce noodle,Pack,Taiwan,4.25,224,3.6654017857142853
2433,Nissin,cup noodles indonesia mie goreng,Cup,Japan,3.75,352,3.981605113636364
2432,Fashion Food,yummy spicy rice soup with seafood,Bowl,Thailand,3.5,191,3.384816753926702
2430,MyKuali,meekuali bihun sup rempah perisa daging,Pack,Malaysia,5,155,4.154193548387097
2429,New Touch,t's restaurant sura tanmen,Cup,Japan,4,352,3.981605113636364
2428,TTL,sesame oil chicken with rice wine noodle,Bowl,Taiwan,5,224,3.6654017857142853
2427,Ajinatori,halal chicken shoyu sauce ramen,Pack,Japan,2.5,352,3.981605113636364
2425,Nissin,seafood flavour rice vermicelli,Cup,Hong Kong,5,137,3.8018248175182485
2424,Samyang Foods,cheese type buldak bokkeummyun (black pkg),Pack,South Korea,3.75,307,3.7905537459283387
2423,Ve Wong,kung-fu instant oriental noodles soup artificial onion flavor,Pack,Taiwan,3.5,224,3.6654017857142853
2421,Uni-President,baseball snack noodle,Pack,Taiwan,5,224,3.6654017857142853
2420,Nissin,cup noodles spicy seafood flavor,Cup,China,3.75,169,3.4218934911242602
2419,MyKuali,penang red tom yum goong,Box,Japan,5,352,3.981605113636364
2418,Myojo,yomise no yakisoba karashi mentaiko flavor,Tray,Japan,4.5,352,3.981605113636364
2417,Super Bihun,bihun kuah rasa baso sapi,Pack,Indonesia,3.75,126,4.067460317460317
2416,Xiuhe,hot & sour beef noodles,Bowl,China,4.25,169,3.4218934911242602
2415,Nissin,kitsune udon donbei (west),Bowl,Japan,5,352,3.981605113636364
2414,Little Cook,thailand green curry instant noodle,Bowl,Taiwan,5,224,3.6654017857142853
2413,Nissin,cup noodles beef flavour,Cup,Hong Kong,2.5,137,3.8018248175182485
2407,Just Way,chuan wei spicy guan-miao noodles,Pack,Taiwan,4.5,224,3.6654017857142853
2406,Sichuan Guangyou,sweet potato instant noodle braised spicy chitterling flavor,Pack,China,0.25,169,3.4218934911242602
2405,Nissin,cup noodles mini spicy seafood,Cup,Hong Kong,4,137,3.8018248175182485
2404,MyKuali,penang hokkien prawn noodle soup,Pack,Singapore,5,109,4.126146788990826
2402,Maggi,nutri-licious pazzta tomato twist,Pack,India,3.75,31,3.3951612903225805
2401,Sichuan Baijia,chongqing noodles burning dry noodles,Bowl,China,5,169,3.4218934911242602
2400,Nissin,cup noodles tom yam seafood flavour,Cup,Singapore,5,109,4.126146788990826
2399,Indomie,my noodles mi goreng pizza cheese,Pack,Indonesia,4,126,4.067460317460317
2398,Liang Cheng Mai,shaanxi cold noodle: mustard spicy,Tray,China,1,169,3.4218934911242602
2397,Samyang Foods,cheese buldak bokkeummyun (black),Bowl,South Korea,4,307,3.7905537459283387
2395,Master Kong,chicken flavor instant noolde,Pack,China,4.25,169,3.4218934911242602
2394,Nissin,cup noodles prawn flavour,Cup,Hong Kong,3.75,137,3.8018248175182485
2393,Ripe'n'Dry,hokkaido miso ramen,Pack,Japan,3,352,3.981605113636364
2392,MyKuali,penang red tom yum goong rice vermicelli soup,Bowl,Malaysia,5,155,4.154193548387097
2391,Ottogi,jin jjambbong spicy seafood ramyun,Pack,South Korea,5,307,3.7905537459283387
2390,Nissin,rice vermicelli pickled vegetable pork flavour,Cup,Hong Kong,3.75,137,3.8018248175182485
2388,Hua Feng,three fresh delicacies instant noodle,Pack,China,4.25,169,3.4218934911242602
2387,Nissin,demae iccho sesame oil flavour instant noodle,Bowl,Hong Kong,3.5,137,3.8018248175182485
2385,Uni-President,man han feast chilli beef flavor instant noodles,Bowl,Taiwan,4.75,224,3.6654017857142853
2384,Sichuan Guangyou,9999 chongqing artificial beef flavor instant noodle,Pack,China,4.25,169,3.4218934911242602
2382,Nongshim,seaweed instant noodle,Cup,South Korea,0.5,307,3.7905537459283387
2381,Nissin,demae iccho seafood flavour instant noodle,Cup,Hong Kong,4.75,137,3.8018248175182485
2380,Pulmuone,non-fried ramyun with spicy beef broth,Pack,South Korea,3.75,307,3.7905537459283387
2378,Sau Tao,non-fried mix noodle black pepper xo sauce flavoured,Pack,Hong Kong,4.5,137,3.8018248175182485
2377,MyKuali,penang white curry instant noodle (japan version),Box,Malaysia,5,155,4.154193548387097
2376,Nissin,disney cuties instant chicken with corn flavour,Cup,Thailand,3.25,191,3.384816753926702
2375,Uni-President,man han feast braised pork flavor instant noodles,Bowl,Taiwan,5,224,3.6654017857142853
2374,World O' Noodle,mi goreng garlic flavour fried noodles,Pack,Indonesia,4.5,126,4.067460317460317
2373,Nissin,top ramen atta nooldes masala,Pack,India,4.5,31,3.3951612903225805
2372,Liu Quan,instant spicy rice noodle,Bowl,China,4,169,3.4218934911242602
2371,Daikoku,tanuki soba,Cup,Japan,3.5,352,3.981605113636364
2370,Samyang Foods,zzaldduck buldak bokkeummyun snack,Pack,South Korea,4.5,307,3.7905537459283387
2369,Samyang Foods,curry buldak bokkeummyun,Pack,South Korea,4.25,307,3.7905537459283387
2368,Samyang Foods,cool/ice buldak bokkeummyun,Pack,South Korea,3.75,307,3.7905537459283387
2367,Samyang Foods,2x spicy haek buldak bokkeummyun,Pack,South Korea,4,307,3.7905537459283387
2366,Samyang Foods,buldak bokkeummyun snack,Pack,South Korea,5,307,3.7905537459283387
2365,Samyang Foods,stew buldak bokkeumtangmyun,Pack,South Korea,5,307,3.7905537459283387
2364,Samyang Foods,cheese buldak bokkeummyun,Pack,South Korea,4,307,3.7905537459283387
2363,Samyang Foods,buldak bokkeummyun (new packaging),Pack,South Korea,4,307,3.7905537459283387
2362,Chuan Wei Wang,bowl instant noodles artificial spicy beef flavor,Bowl,China,4,169,3.4218934911242602
2361,Nissin,demae iccho chicken flavour instant noodle (bowl noodle),Bowl,Hong Kong,5,137,3.8018248175182485
2360,Wai Wai,instant noodles artificial chicken flavoured,Pack,India,2,31,3.3951612903225805
2359,Daikoku,kitsune udon,Cup,Japan,2,352,3.981605113636364
2358,Sichuan Baijia,pickled cabbage flavor instant vermicelli,Bowl,China,4,169,3.4218934911242602
2357,Kamfen,noodle king artificial wonton soup flavored,Bowl,Hong Kong,5,137,3.8018248175182485
2356,Nongshim,spicy shrimp cup noodle,Cup,South Korea,4,307,3.7905537459283387
2355,Marutai,nagasaki agodashi shoyu ramen,Pack,Japan,4,352,3.981605113636364
2354,Vifon,viet cuisine bun rieu cua sour crab soup instant rice vermicelli,Bowl,Vietnam,5,108,3.187962962962963
2353,Nissin,"cup noodles rich garlic, egg yolk & oxtail",Cup,Japan,4,352,3.981605113636364
2352,Uni-President,minced pork flavor instant noodles,Pack,Taiwan,1,224,3.6654017857142853
2351,1 To 3 Noodles,chatpat masala,Pack,India,4,31,3.3951612903225805
2350,Nissin,cup noodles big xo sauce seafood flavour,Cup,Hong Kong,4,137,3.8018248175182485
2348,Ripe'n'Dry,hokkaido salt ramen,Pack,Japan,3,352,3.981605113636364
2347,Nissin,demae iccho tonkotsu flavour instant noodle (bowl noodle),Bowl,Hong Kong,3,137,3.8018248175182485
2345,Sempio,clam flavor soup kal-guksu,Pack,South Korea,5,307,3.7905537459283387
2330,Ve Wong,little prince(ss) brand snack noodles artificial mexican pizza flavor,Pack,Taiwan,4,224,3.6654017857142853
2329,Patanjali,atta noodles jhatpat banao befikr khao,Pack,India,5,31,3.3951612903225805
2328,Qin Zong,shaanxi cold noot hot & sour flavor,Pack,China,3,169,3.4218934911242602
2326,Nissin,demae iccho tokyo shoru tonkotsu instant noodle,Cup,Hong Kong,4,137,3.8018248175182485
2325,Pran,mr. noodles curry flavor instant noodles,Pack,Bangladesh,4,7,3.7142857142857144
2324,Paldo,bul jjajangmyeon,Pack,South Korea,5,307,3.7905537459283387
2323,Ogasawara,kirin giraffe shio ramen,Pack,Japan,5,352,3.981605113636364
2322,Sapporo Ichiban,mie kamayama ramen gyukotsu misoaji,Bowl,Japan,3,352,3.981605113636364
2321,Sau Tao,black pepper xo sauce flavour,Bowl,Hong Kong,5,137,3.8018248175182485
2320,Nissin,nupasta bolognese flavour instant noodle,Cup,Japan,4,352,3.981605113636364
2319,Nongshim,saeutang sabalmyeon,Bowl,South Korea,3.5,307,3.7905537459283387
2318,Happy Cook,sichuan spicy flavor,Pack,Taiwan,5,224,3.6654017857142853
2317,MAMA,instant bowl noodles shrimp (tom yum) flavor base,Bowl,Thailand,4,191,3.384816753926702
2316,Nissin,cup noodle spicy curry chicken,Cup,Japan,5,352,3.981605113636364
2314,Nissin,cup noodles spicy beef flavour,Cup,Hong Kong,4,137,3.8018248175182485
2313,Xiao Ban Mian,sesame oil with garlic flavor thin noodle,Pack,Taiwan,3.5,224,3.6654017857142853
2312,Xiao Ban Mian,traditional shallot & onion oil noodle,Pack,Taiwan,5,224,3.6654017857142853
2311,Xiao Ban Mian,sesame sauce matcha noodle,Pack,Taiwan,3.8,224,3.6654017857142853
2310,Pran,mr. noodles instant noodles beef flavour,Pack,Bangladesh,4,7,3.7142857142857144
2309,Nissin,cup noodles big seafood flavour,Cup,Hong Kong,4,137,3.8018248175182485
2306,Nissin,demae iccho black garlic oil tonkotsu flavour instant noodles,Cup,Hong Kong,4,137,3.8018248175182485
2305,Ajinatori,chicken flavor ramen,Pack,Japan,4,352,3.981605113636364
2304,Maggi,2 minute noodles masala spicy,Pack,India,5,31,3.3951612903225805
2302,Nissin,yakisoba,Tray,Japan,5,352,3.981605113636364
2300,Nissin,demae ramen spicy xo sauce seafood flavour instant noodle,Pack,Hong Kong,4,137,3.8018248175182485
2299,Cintan,mi segera mmm... original,Pack,Malaysia,3,155,4.154193548387097
2297,Chuan Wei Wang,bowl instant noodles artificial beef with sauerkraut flavor,Bowl,China,3,169,3.4218934911242602
2295,Nissin,cup noodles seafood,Cup,China,4,169,3.4218934911242602
2294,Sapporo Ichiban,tabimen aizukitakata gyokai shoyu ramen,Bowl,Japan,4,352,3.981605113636364
2293,Nissin,nupasta bacon in carbonara sauce flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2292,Sichuan Baijia,chongqing noodles spicy hot flavor,Pack,China,5,169,3.4218934911242602
2291,Samyang Foods,buldak bokkummyun cheese flavor,Pack,South Korea,4,307,3.7905537459283387
2290,Nissin,demae ramen straight noodle black garlic oil tonkotsu flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2289,Myojo,shin toyama black ramen,Bowl,Japan,4,352,3.981605113636364
2288,Nissin,cup noodles tom yum goong flavour,Cup,Hong Kong,4,137,3.8018248175182485
2287,Master Kong,artificial abalone crab flavor instant noodle,Pack,China,0,169,3.4218934911242602
2286,Kamfen,noodle king artificial abalone and chicken soup flavored,Bowl,Hong Kong,4,137,3.8018248175182485
2284,Nissin,korean kimchi flavour vermicelli,Cup,Hong Kong,4,137,3.8018248175182485
2283,Nissin,raoh pork bone soy soup noodle,Pack,Japan,5,352,3.981605113636364
2282,Samyang Foods,gold jjamppong fried noodle,Pack,South Korea,5,307,3.7905537459283387
2281,Nissin,demae iccho red hot seafood flavour instant noodle,Cup,Hong Kong,4,137,3.8018248175182485
2280,Sichuan Baijia,chongqing noodles hot & sour flavor,Pack,China,4,169,3.4218934911242602
2279,Nissin,demae iccho spicy tonkotsu flavour instant noodle (bowl noodle),Bowl,Hong Kong,5,137,3.8018248175182485
2278,Nissin,raoh tantanmen,Pack,Japan,5,352,3.981605113636364
2275,JML,hot & sour beef noodles,Pack,China,4,169,3.4218934911242602
2273,Uni-President,a q bucket noodle korean kimchi flavor,Bowl,Taiwan,4,224,3.6654017857142853
2272,Nissin,demae iccho spicy kimchi pot flavour instant noodle (bowl noodle),Bowl,Hong Kong,4,137,3.8018248175182485
2271,Sichuan Baijia,chongqing noodles burning dry noodles,Pack,China,5,169,3.4218934911242602
2270,Samyang Foods,fresh bibimmyun fried noodle,Pack,South Korea,4,307,3.7905537459283387
2269,Wai Wai,instant noodles veg masala flavour,Pack,India,4,31,3.3951612903225805
2268,Nissin,nupasta neapolitan flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2266,Nissin,disney cuties instant noodle crab flavour,Cup,Thailand,4,191,3.384816753926702
2265,Nissin,cup noodles rich soft shelled turle soup,Cup,Japan,3,352,3.981605113636364
2264,Unif Tung-I,instant vegetarian beehoon rice vermicelli,Pack,Taiwan,1,224,3.6654017857142853
2263,Sichuan Baijia,broad noodle artificial beef flavor hot pot,Pack,China,4,169,3.4218934911242602
2261,Tablemark,tohokuno aji yonezawa ramen,Bowl,Japan,4,352,3.981605113636364
2260,Uni-President,science noodle (x'mas edition),Pack,Taiwan,5,224,3.6654017857142853
2258,Kamfen,instant wonton noodles scallop lobster soup flavour,Bowl,Hong Kong,4.3,137,3.8018248175182485
2257,Fuku,tom yam soup instant noodle,Pack,Hong Kong,2.3,137,3.8018248175182485
2255,Daikoku,hiroshima flavor yakisoba,Tray,Japan,5,352,3.981605113636364
2254,Nissin,disney cuties instant noodle seaweed flavour,Cup,Thailand,3,191,3.384816753926702
2252,New Touch,sugomen sano ramen,Bowl,Japan,5,352,3.981605113636364
2250,Nissin,demae iccho spicy xo sauce seafood flavour,Pack,Hong Kong,4,137,3.8018248175182485
2249,Love Cook,sun dried noodle - fruity soy bean paste,Pack,Taiwan,4,224,3.6654017857142853
2247,Nissin,sapporo noukou miso ramen,Bowl,Japan,5,352,3.981605113636364
2245,Nissin,vietnamese chicken coriander flavour vermicelli,Cup,Hong Kong,4,137,3.8018248175182485
2244,Kang Shi Fu,artificial spicy beef flavour,Pack,Hong Kong,4,137,3.8018248175182485
2243,Nissin,cup noodles black pepper crab flavour,Cup,Hong Kong,4,137,3.8018248175182485
2241,Fuku,spicy soup instant noodle beef flavour,Pack,Hong Kong,4,137,3.8018248175182485
2240,Wang,rice noodle anchovy flavor,Bowl,South Korea,3,307,3.7905537459283387
2238,Asian Thai Foods,rumpum gundruk flavour,Pack,Nepal,1,14,3.5535714285714284
2237,Nissin,cup noodle light+ bagna cauda,Cup,Japan,5,352,3.981605113636364
2236,Maruchan,gotsumori koku tonkotsu ramen,Bowl,Japan,4,352,3.981605113636364
2235,Fashion Food,tom yum shrimp creamy flavour instant noodles,Bowl,Thailand,4,191,3.384816753926702
2234,Paldo,bibim men,Bowl,South Korea,5,307,3.7905537459283387
2233,Nissin,cup noodles milk seafood flavour,Cup,Hong Kong,4,137,3.8018248175182485
2232,Nissin,spicy chikin donburi,Bowl,Japan,5,352,3.981605113636364
2230,Marutai,kuroma-yu tonkotsu kumamoto ramen,Pack,Japan,4,352,3.981605113636364
2229,Kang Shi Fu,artificial beef with sauerkraut flavour,Pack,Hong Kong,4,137,3.8018248175182485
2228,Nissin,raoh shoyu ramen,Bowl,Japan,5,352,3.981605113636364
2226,Nagatanien,hiyashi soba taidashi goma,Pack,Japan,3,352,3.981605113636364
2225,Fuku,bowl chicken flavour instant rice vermicelli,Bowl,Hong Kong,4,137,3.8018248175182485
2224,Wai Wai,x-press flavour of pizza in noodles proprietary food,Pack,India,4,31,3.3951612903225805
2223,KOKA,rice noodles fragrant chicken pho ga flavour,Pack,Singapore,4,109,4.126146788990826
2222,Nyor Nyar,vegetarian penang white curry,Pack,Malaysia,5,155,4.154193548387097
2221,Nissin,cup noodle seafood,Cup,Japan,5,352,3.981605113636364
2220,Paldo,budae jjigae,Pack,South Korea,5,307,3.7905537459283387
2218,Tseng Noodles,spicy braised pork flavor,Pack,Taiwan,4,224,3.6654017857142853
2217,Nissin,demae ramen spicy seafood flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2216,A-Sha Dry Noodle,chow mein spicy flavor,Tray,Taiwan,3,224,3.6654017857142853
2215,Myojo,mee goreng spicy flavour,Pack,Singapore,5,109,4.126146788990826
2214,Sapporo Ichiban,tabimen nagasaki chanpon,Bowl,Japan,4,352,3.981605113636364
2213,Acecook,oh! ricey pork flavour,Pack,Vietnam,4,108,3.187962962962963
2212,Paldo,bul jjamppong,Pack,South Korea,4,307,3.7905537459283387
2211,Nissin,disney cuties instant noodle roast pork flavour,Cup,Thailand,3,191,3.384816753926702
2209,Nissin,demae ramen spicy hot tonkotsu flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2207,Nissin,big cup noodles tonkotsu flavour,Cup,Hong Kong,3,137,3.8018248175182485
2206,Nissin,deka buto kuro m-yu tonkotsu,Bowl,Japan,5,352,3.981605113636364
2202,Nissin,nupasta vongole flavour instant noodle,Cup,Hong Kong,4,137,3.8018248175182485
2195,Nissin,gyorai inaniwa chuka soba,Bowl,Japan,5,352,3.981605113636364
2194,Fuku,chicken flavour instant noodle,Pack,Hong Kong,4,137,3.8018248175182485
2192,Nyor Nyar,penang white curry instant noodle,Pack,Malaysia,5,155,4.154193548387097
2191,Choumama,xo scallops sauce dry noodles,Pack,Taiwan,4,224,3.6654017857142853
2190,Myojo,barikata noukou tonkotsu shoyu,Bowl,Japan,4.75,352,3.981605113636364
2189,Nissin,demae ramen sesame oil flavour cup,Cup,Hong Kong,4,137,3.8018248175182485
2187,Pulmuone,non-fried ramyun noodle (crab flavor),Pack,South Korea,5,307,3.7905537459283387
2186,Master Kong,assorted seafood noodles,Pack,China,4,169,3.4218934911242602
2185,Nissin,raoh hot & sour ramen,Pack,Japan,5,352,3.981605113636364
2184,President Rice,coriander instant rice noodles,Bowl,Thailand,2.75,191,3.384816753926702
